feature_name,notion_url
Google/OTP Login System,
Password Reset via Email,https://www.notion.so/Password-Reset-via-Email-25a07be4450e81ce906af50d7ce6f8d7?pvs=21
Two-Tier User Roles,https://www.notion.so/Two-Tier-User-Roles-25a07be4450e81ee9a7ec767354ac67f?pvs=21
Exam Database with Core Info,https://www.notion.so/Exam-Database-with-Core-Info-25a07be4450e81bfb0cfeccb8c22339f?pvs=21
PYQ-to-JSON Pipeline,https://www.notion.so/PYQ-to-JSON-Pipeline-25a07be4450e81a59b9dfa10632b948d?pvs=21
Static Mock Test Generation,https://www.notion.so/Static-Mock-Test-Generation-25a07be4450e8174b960e3cea4a826ea?pvs=21
Daily Quiz System,https://www.notion.so/Daily-Quiz-System-25a07be4450e814299c5d4ce5db9d388?pvs=21
Basic Progress Tracking,https://www.notion.so/Basic-Progress-Tracking-25a07be4450e81248d6fed0cb38d42b9?pvs=21
Exams You Might Also Like Module,https://www.notion.so/Exams-You-Might-Also-Like-Module-25a07be4450e81849627dc27acfbba65?pvs=21
Points Balance Display,https://www.notion.so/Points-Balance-Display-25a07be4450e819dbd46d96909759715?pvs=21
Syllabus Tracker Integration,https://www.notion.so/Syllabus-Tracker-Integration-25a07be4450e81fa9176dad7f505164e?pvs=21
Student DNA Profiler,https://www.notion.so/Student-DNA-Profiler-25a07be4450e81d2915af79a465a9879?pvs=21
User profiles to be added with Student DNA Profiler,https://www.notion.so/User-profiles-to-be-added-with-Student-DNA-Profiler-25a07be4450e8001a439f02c11bc5753?pvs=21
Rule-Based Exam Selector,https://www.notion.so/Rule-Based-Exam-Selector-25a07be4450e8175bb11f42ce0ed3092?pvs=21
Full scaler In Depth AI,https://www.notion.so/Full-scaler-In-Depth-AI-25a07be4450e80da9368f2845e8767a0?pvs=21
Points System,https://www.notion.so/Points-System-25a07be4450e819aa632dabd0e654dee?pvs=21
Basic Admin Dashboard,https://www.notion.so/Basic-Admin-Dashboard-25a07be4450e818f8822cafe42f74ef7?pvs=21
Path Commitment Rate Tracking,https://www.notion.so/Path-Commitment-Rate-Tracking-25a07be4450e81a29758e178ea7069ef?pvs=21
Question Bookmarking,https://www.notion.so/Question-Bookmarking-25a07be4450e81dd878ec0deff1de342?pvs=21
Dark Mode,https://www.notion.so/Dark-Mode-25a07be4450e81fc8eebdd5efc814018?pvs=21
Exam Countdown Widget,https://www.notion.so/Exam-Countdown-Widget-25a07be4450e81e0b350eaae365c332b?pvs=21
Quick Share Feature,https://www.notion.so/Quick-Share-Feature-25a07be4450e81478c6ef91e2be1efff?pvs=21
Performance Insight Cards,https://www.notion.so/Performance-Insight-Cards-25a07be4450e81869053e45ff0fa8049?pvs=21
Voice Question Reader,https://www.notion.so/Voice-Question-Reader-25a07be4450e810880fedcba12d66aeb?pvs=21
Leaderboards,https://www.notion.so/Leaderboards-25a07be4450e819aa85cf935b647d9bc?pvs=21
Streak System,https://www.notion.so/Streak-System-25a07be4450e81bc85e0cefad63c0686?pvs=21
Achievement System,https://www.notion.so/Achievement-System-25a07be4450e81049ef0cba3d6e0af73?pvs=21
Push Notifications,https://www.notion.so/Push-Notifications-25a07be4450e814bae3dc923a7c6beaf?pvs=21
Creator Partnership Program,https://www.notion.so/Creator-Partnership-Program-25a07be4450e81699c8ad67d0b954022?pvs=21
Telegram Bot Integration,https://www.notion.so/Telegram-Bot-Integration-25a07be4450e812fb669eec5a9517595?pvs=21
Weekly Report Emails,https://www.notion.so/Weekly-Report-Emails-25a07be4450e8189bc50e83249509e2e?pvs=21
Rewarded Ads System,https://www.notion.so/Rewarded-Ads-System-25a07be4450e817491f6c6183e0fce84?pvs=21
Premium Upgrade Flows,https://www.notion.so/Premium-Upgrade-Flows-25a07be4450e81039960eccbf2b2352d?pvs=21
Affiliate Integration,https://www.notion.so/Affiliate-Integration-25a07be4450e816a8012c83c0de1a2b7?pvs=21
Smart Retry System,https://www.notion.so/Smart-Retry-System-25a07be4450e81df963fcd2ac9847bbf?pvs=21
Exam Comparison Tool,https://www.notion.so/Exam-Comparison-Tool-25a07be4450e81a99f40e278eb29e4b9?pvs=21
Study Buddy Matching,https://www.notion.so/Study-Buddy-Matching-25a07be4450e8109a6a4ddb7ee8b441d?pvs=21
Advanced Dashboard Analytics,https://www.notion.so/Advanced-Dashboard-Analytics-25a07be4450e8106a053fec8bfdc4cd5?pvs=21
LLM Custom Test Generation,https://www.notion.so/LLM-Custom-Test-Generation-25a07be4450e812693f2fac55971440b?pvs=21
Predictive Failure Analytics,https://www.notion.so/Predictive-Failure-Analytics-25a07be4450e81e2985bfed7e2b0b728?pvs=21
Cross-Exam Study Plans,https://www.notion.so/Cross-Exam-Study-Plans-25a07be4450e815eb816cca4c9fab227?pvs=21
Creator Marketplace,https://www.notion.so/Creator-Marketplace-25a07be4450e810c93e0e69dddef11c8?pvs=21
SEO Content Hub,https://www.notion.so/SEO-Content-Hub-25a07be4450e814c856beef8ab281ec7?pvs=21
B2B Partnerships,https://www.notion.so/B2B-Partnerships-25a07be4450e81b3b5a4c2480e40de9b?pvs=21
A/B Testing Framework,https://www.notion.so/A-B-Testing-Framework-25a07be4450e81dfa48be7233180175c?pvs=21
